Datei;Yamllint failed;Ansiblelint failed;Molecule failed;Molecule passed;Total runs;File size (chars)
ansible-role-cadvisor/tasks/main.yml;41;5;17;1;64;1696
ansible-role-pip/tasks/main.yml;29;5;26;4;64;880
ansible-role-epel-buluma/tasks/main.yml;39;4;18;3;64;756
ansible-role-mysql/tasks/main.yml;38;9;17;0;64;2615
ansible-role-bootstrap-buluma/tasks/main.yml;36;13;15;0;64;2122
ansible-role-openvpn/tasks/server.yml;31;19;14;0;64;2633
ansible-role-rke2/tasks/find_active_server.yml;27;1;23;13;64;428
ansible-role-buildtools/tasks/main.yml;13;4;30;17;64;144
ansible-role-ansible/tasks/setup-Ubuntu.yml;17;5;0;42;64;350
ansible-role-ca_certificates/tasks/main.yml;6;2;33;23;64;159
ansible-role-rke2/tasks/download_kubeconfig.yaml;50;0;0;14;64;831
ansible-role-nginx/tasks/main.yml;29;2;32;1;64;831
ansible-role-openssl/tasks/create.yml;37;7;18;2;64;2072
ansible-role-openvpn/tasks/main.yml;25;1;37;1;64;506
ansible-role-httpd-buluma/tasks/vhosts.yml;29;3;22;10;64;668
ansible-role-postfix/tasks/main.yml;52;1;11;0;64;9006
ansible-role-docker/tasks/docker-compose.yml;51;2;0;11;64;1181
ansible-role-java/tasks/main.yml;48;4;11;1;64;2872
ansible-role-openssl/tasks/main.yml;15;10;36;3;64;1856
ansible-role-httpd/tasks/locations.yml;14;9;40;1;64;532
ansible-role-hashicorp/tasks/main.yml;47;2;15;0;64;2438
ansible-role-rke2/tasks/kubevip.yml;32;6;8;18;64;926
ansible-role-openvpn/tasks/client.yml;16;6;39;3;64;445
ansible-role-openssl-robertdebock/tasks/create.yml;36;6;21;1;64;2072
ansible-role-dns/tasks/main.yml;43;8;13;0;64;3001
ansible-role-httpd-buluma/tasks/main.yml;38;9;17;0;64;2530
ansible-role-openssl-robertdebock/tasks/main.yml;15;7;41;1;64;1256
ansible-role-vsftpd/tasks/main.yml;23;8;28;5;64;566
ansible-role-promtail/tasks/main.yml;24;3;27;10;64;512
ansible-role-rke2/tasks/summary.yml;29;11;21;3;64;494
ansible-role-users/tasks/user.yml;53;4;7;0;64;5920
ansible-role-httpd/tasks/main.yml;41;9;14;0;64;2530
ansible-role-selinux-robertdebock/tasks/main.yml;36;3;20;5;64;1030
ansible-role-httpd-buluma/tasks/ssl.yml;12;6;35;11;64;608
ansible-role-ansible/tasks/setup-RedHat.yml;18;11;13;22;64;162
ansible-role-rke2/tasks/rolling_restart.yml;46;5;6;7;64;2817
ansible-role-rke2/tasks/rke2.yml;60;1;3;0;64;11375
ansible-role-core_dependencies-buluma/tasks/main.yml;17;9;33;5;64;391
ansible-role-ansible/tasks/main.yml;37;3;10;14;64;976
ansible-role-mysql-robertdebock/tasks/main.yml;45;6;13;0;64;3303
ansible-role-python_pip/tasks/main.yml;40;6;18;0;64;1498
ansible-role-ansible/tasks/setup-pip.yml;11;7;0;46;64;277
ansible-role-rke2/tasks/cis.yml;36;6;8;14;64;704
ansible-role-php-robertdebock/tasks/main.yml;17;17;30;0;64;653
ansible-role-vault/tasks/hardening.yml;42;8;13;1;64;1853
ansible-role-rke2/tasks/change_config.yml;48;2;7;7;64;1352
ansible-role-redis/tasks/main.yml;40;1;23;0;64;879
ansible-role-bootstrap-JonasPammer/tasks/gather_facts.yml;52;0;12;0;64;1248
ansible-role-docker/tasks/setup-Debian.yml;49;2;1;12;64;1469
ansible-role-vault/tasks/package.yml;22;10;32;0;64;146
ansible-role-cron-buluma/tasks/main.yml;38;5;16;5;64;1670
ansible-role-update/tasks/main.yml;41;13;8;2;64;2750
ansible-role-promtail/tasks/preflight.yml;55;1;8;0;64;2336
ansible-role-httpd-buluma/tasks/directories.yml;15;10;38;1;64;543
ansible-role-rke2/tasks/first_server.yml;61;0;3;0;64;7411
ansible-role-bootstrap/tasks/main.yml;40;4;20;0;64;1924
ansible-role-sysctl/tasks/main.yml;28;4;31;1;64;714
ansible-role-httpd-buluma/tasks/locations.yml;20;7;34;3;64;532
ansible-role-docker/tasks/setup-RedHat.yml;43;7;11;3;64;1666
ansible-role-logrotate/tasks/main.yml;25;8;31;0;64;1322
ansible-role-service/tasks/main.yml;15;10;34;5;64;1286
ansible-role-rke2/tasks/ingress-nginx.yml;16;4;10;34;64;449
ansible-role-pip/tasks/debian12.yml;24;8;14;18;64;528
java_role/tasks/import_certs.yml;34;5;20;5;64;1410
ansible-role-rke2/tasks/main.yml;47;3;14;0;64;3798
ansible-role-scl/tasks/main.yml;8;9;21;26;64;183
java_role/tasks/main.yml;15;8;14;27;64;281
ansible-role-fail2ban/tasks/main.yml;36;6;22;0;64;1694
ansible-role-users/tasks/main.yml;22;7;34;1;64;1247
ansible-role-cron/tasks/main.yml;35;4;19;6;64;1680
ansible-role-docker_compose/tasks/main.yml;24;10;27;3;64;736
ansible-role-rke2/tasks/keepalived.yml;33;4;9;18;64;2168
ansible-role-httpd/tasks/ssl.yml;16;6;38;4;64;608
ansible-role-epel/tasks/main.yml;45;7;8;4;64;762
ansible-role-rsyslog/tasks/main.yml;32;3;25;4;64;1807
ansible-role-docker/tasks/main.yml;51;1;11;1;64;3556
ansible-role-rke2/tasks/remaining_nodes.yml;55;2;7;0;64;3303
ansible-role-python_pip-buluma/tasks/main.yml;42;6;15;1;64;2445
ansible-role-docker/tasks/docker-users.yml;19;4;1;40;64;275
ansible-role-ansible/tasks/setup-Debian.yml;49;1;0;14;64;733
ansible-role-users/tasks/group.yml;14;8;39;3;64;572
ansible-role-helm/tasks/main.yml;52;1;11;0;64;780
ansible-role-promtail/tasks/install.yml;49;1;14;0;64;4413
ansible-role-httpd/tasks/directories.yml;26;8;29;1;64;543
ansible-role-grub/tasks/main.yml;28;5;31;0;64;1312
ansible-role-vault/tasks/main.yml;43;3;18;0;64;1019
ansible-role-grub/tasks/password.yml;26;9;19;10;64;1410
ansible-role-vault/tasks/binary.yml;43;3;17;1;64;3946
ansible-role-core_dependencies/tasks/main.yml;15;9;36;4;64;391
ansible-role-git/tasks/main.yml;35;10;13;6;64;1943
ansible-role-buildtools-buluma/tasks/main.yml;6;7;29;22;64;144
ansible-role-bootstrap-buluma/tasks/gather_facts.yml;45;5;14;0;64;1049
ansible-role-bootstrap-JonasPammer/tasks/main.yml;40;4;12;8;64;2369
ansible-role-selinux/tasks/main.yml;39;4;16;5;64;1030
